date,merchant,amount,currency
2025-08-01,Swiggy,450,INR
2025-08-02,Amazon,1299,INR
2025-08-03,Shell Fuel,2100,INR
2025-08-04,Netflix,499,INR
2025-08-05,BSES Electricity,1850,INR
2025-08-06,Local Cafe,320,INR
2025-08-07,Flipkart,899,INR
2025-08-08,HPCL Fuel,1800,INR
2025-08-09,Zomato,520,INR
2025-08-10,Kirana Store,760,INR
2025-08-11,Steam,999,INR
2025-08-12,Metro Mart,1450,INR
2025-08-13,Tata Power,1600,INR
2025-08-14,Burger Point,430,INR
2025-08-15,Book Store,650,INR
2025-08-16,Myntra,1499,INR
2025-08-17,Cafe Coffee Day,280,INR
2025-08-18,BPCL Fuel,1950,INR
2025-08-19,Movie Theater,350,INR
2025-08-20,Local Restaurant,780,INR
